epoch_index,tx_hour,rx_shard,avg_latency_sec,p50_latency_sec,p80_latency_sec,p90_latency_sec,p95_latency_sec,p99_latency_sec
3060.0,0,0,4.1209121202727816,3,6,6,7,10
3060.0,0,1,2.4132762312633838,2,3,3,5,6
3060.0,0,2,4.3551811578630657,4,6,6,7,10
3060.0,0,4,4.3528794182836261,4,6,7,7,10
3060.0,0,5,3.6795091324200921,3,6,6,7,11
3060.0,0,6,2.198326771653544,2,2,3,4,5
3060.0,0,7,3.8663044093507666,3,5,6,6,9
3060.0,1,0,4.0813673403146735,3,5,6,8,10
3060.0,1,1,2.534117647058824,2,3,4,5,7
3060.0,1,2,4.3403203378482766,3,6,7,9,11
3060.0,1,4,4.7277271915729315,4,6,7,9,12
3060.0,1,5,3.921432502222411,3,6,7,8,11
3060.0,1,6,2.19375869899641,2,2,3,4,5
3060.0,1,7,3.7704011065006915,3,5,6,7,9
3060.0,2,0,4.3431769830817526,4,6,7,8,10
3060.0,2,1,2.4874141876430205,2,3,4,5,6
3060.0,2,2,4.5167420814479637,4,6,7,9,11
3060.0,2,4,4.697722793956645,4,6,8,9,10
3060.0,2,5,3.8604825291181379,3,6,7,8,10
3060.0,2,6,2.3076553076553075,2,3,3,4,6
3060.0,2,7,3.9817682403433494,3,5,6,7,9
3060.0,3,0,4.315545069842341,3,6,7,8,12
3060.0,3,1,2.5370138017565873,2,3,4,5,7
3060.0,3,2,4.44580193516743,4,6,7,9,12
3060.0,3,4,4.6298060329950994,4,6,7,9,11
3060.0,3,5,3.8984300170740855,3,6,7,8,10
3060.0,3,6,2.3026267215675129,2,3,3,4,5
3060.0,3,7,3.9798735572182586,3,5,6,7,10
3060.0,4,0,3.5105344601833113,3,4,6,6,8
3060.0,4,1,1.9737354085603114,2,2,2,2,3
3060.0,4,2,3.5519319525498712,3,4,6,7,9
3060.0,4,4,3.4526912023214931,3,4,5,6,9
3060.0,4,5,3.2482979413195019,3,4,6,6,10
3060.0,4,6,1.9390976748486108,2,2,2,2,3
3060.0,4,7,3.2622904412921088,3,3,4,5,8
3060.0,5,0,3.4274836196210385,3,4,5,6,8
3060.0,5,1,1.9333333333333333,2,2,2,2,3
3060.0,5,2,3.415404178019982,3,4,5,6,8
3060.0,5,4,3.3574533296182789,3,3,5,6,8
3060.0,5,5,3.1859931113662454,3,4,5,6,9
3060.0,5,6,1.9288248287556615,2,2,2,2,3
3060.0,5,7,3.1796976700937813,3,3,4,5,7
3060.0,6,0,3.5956658537039434,3,4,6,7,9
3060.0,6,1,1.992459943449576,2,2,2,2,4
3060.0,6,2,3.5608211551844136,3,4,6,7,9
3060.0,6,4,3.5390831266501319,3,4,6,7,9
3060.0,6,5,3.4181407053503041,3,5,6,7,11
3060.0,6,6,1.9815281899109793,2,2,2,2,4
3060.0,6,7,3.3166130891005041,3,3,4,5,8
3060.0,7,0,3.5732174273000097,3,4,6,7,9
3060.0,7,1,1.9818325434439181,2,2,2,2,4
3060.0,7,2,3.5291196056068586,3,4,6,7,9
3060.0,7,4,3.4848754695978861,3,4,6,7,9
3060.0,7,5,3.4397698369678524,3,5,6,7,10
3060.0,7,6,1.9602132569427877,2,2,2,2,3
3060.0,7,7,3.2671923510179397,3,3,4,5,8
3060.0,8,0,3.5644924558210529,3,4,6,6,8
3060.0,8,1,1.9923150816522579,2,2,2,2,4
3060.0,8,2,3.6217496088960308,3,4,6,6,10
3060.0,8,4,3.5519015306927568,3,4,6,7,8
3060.0,8,5,3.442834336239716,3,5,6,7,9
3060.0,8,6,1.9737856395333997,2,2,2,2,4
